"ny_dbl_record_id","pf_corp","company","legal_name","dba_name","company_address1","company_address2","company_city","company_state","company_zip","naics","federal_ein","state_dol","legal_status","client_phone","client_fax","email_addr","filing_descr","location_address1","location_address2","location_city","location_state","location_zip","dbl_males","dbl_females","pfl_males","pfl_females","covered_annual_payroll","status","status_date","cancel_reason"
1,PEOUS,NK0,"Qapital, Inc.", ,"304 Hudson Street",Suite 505,New York,NY,"10013","511210", 471161945, ,Corporation, , , ,"Qapital, Inc.-HQ","304 Hudson Street",Suite 505,New York,NY,"10013",17,19,17,19,2688029,ADD,2018-01-23, 
2,PEOUS,BMJ,"SwiftStack, Inc.", ,"333 Bush St",Suite 1650,San Francisco,CA,"94104","541511", 453567719, ,Corporation, , , ,Sean's home-office in NY,null,null,null,NY,null,1,0,1,0,160000,ADD,2018-01-23, 
3,PEOUS,"5QQ","Menlo Financial Services Group, Inc.", ,"411 Borel Avenue Suite 620",null,San Mateo,CA,"94402","523930", 943000066, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,400000,CANCEL,2018-01-23,Client's Request
4,PEOUS,HRH,"Pulse Secure, LLC", ,"2700 Zanker Road",Suite 200,San Jose,CA,"95134","541511", 471420548, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,6,0,6,0,877650,ADD,2018-01-23, 
5,PEO01,SOY,"Curoverse Innovations, Inc", ,"212 Elm Street 3rd Floor",null,Somerville,MA,"02144","518210", 820858075, ,Corporation, , , ,Ithaca Remote Office,null,null,null,NY,null,1,0,1,0,80250,ADD,2018-01-23, 
6,PEO01,EA7,"Rivian Automotive, LLC", ,"35803 Veronica Street",null,Livonia,MI,"48150","541420", 473556480, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,100000,CANCEL,2018-01-23,Client's Request
7,PEO02,GFN,The Kochin Group LLC, ,"551 5th Avenue",Suite 2500,New York,NY,"10176","523930", 134052076, ,Limited Liability Company, , , ,The Kochin Group LLC-HQ,"551 5th Avenue",Suite 2500,New York,NY,"10176",13,8,13,8,1783620,ADD,2018-01-23, 
8,PEO01,C6P,SABR Capital Management LLC, ,C/O Pinnacle Associates,"335 Madison Avenue",New York,NY,"10017-4627","523920", 461022864, ,Limited Liability Company, , , ,"SABR Capital Management, LL-HQ",C/O Pinnacle Associates,"335 Madison Avenue",New York,NY,"10017-4627",3,0,3,0,60840,ADD,2018-01-23, 
9,PEOUS,L6Z,"Versasec, LLC", ,"175 Varick Street","5th Floor",New York,NY,"10014","541511", 473446837, ,Limited Liability Company, , , ,Versasec LLC-HQ,"175 Varick Street","5th Floor",New York,NY,"10014",2,0,2,0,156000,ADD,2018-01-23, 
10,PEOUS,"6M3",Museum of Biblical Art, ,"1865 Broadway Street",null,New York,NY,"10023","712110", 201915394, ,Corporation, , , ,MOBIA-HQ,"1865 Broadway Street",null,New York,NY,"10023",29,50,29,50,3086207,CANCEL,2018-01-23,Client's Request
11,PEO01,CYV,"GBS Finance, LLC", ,"135 E 57 Street",Floor 16,New York,NY,"10022","525910", 990378596, ,Limited Liability Company, , , ,GBS Finance LLC-HQ,"135 E 57 Street",Floor 16,New York,NY,"10022",2,6,2,6,499400,ADD,2018-01-23, 
12,PEO02,LKX,Concord Resource Limited, ,"320 Park Avenue",null,New York City,NY,"10022","523130", 981270666, ,Corporation, , , ,HQ,"320 Park Avenue",null,New York City,NY,"10022",9,5,9,5,1583000,ADD,2018-01-23, 
13,PEOUS,KDI,The Coveteur LLC, ,"428 Broadway","4th Floor",New York,NY,"10013","454110", 461000383, ,Limited Liability Company, , , ,The Coveteur-HQ,"428 Broadway","4th Floor",New York,NY,"10013",4,57,4,57,4167020,ADD,2018-01-23, 
14,PEOUS,SRG,The Quad Preparatory School, ,"25 Pine Street","4th Floor",New York,NY,"10005","611110", 465652622, ,Corporation, , , ,The Quad Preparatory School-HQ,"25 Pine Street","4th Floor",New York,NY,"10005",27,64,27,64,4794580,ADD,2018-01-23, 
15,PEO02,LDU,Hunting Hill Global Capital LLC, ,"420 Lexington Ave",Suite 2650,New York,NY,"10170","523920", 900598062, ,Limited Liability Company, , , ,HQ,"420 Lexington Ave",Suite 2650,New York,NY,"10170",8,1,8,1,1422000,ADD,2018-01-23, 
16,PEO01,CJC,Octopart Incorporated, ,"43 West 24th Street",Suite 12A,New York,NY,"10010","519130", 208279466, ,Corporation, , , ,Octopart Incorporated-HQ,"43 West 24th Street",Suite 12A,New York,NY,"10010",12,1,12,1,1124800,CANCEL,2018-01-23,Client's Request
17,PEOUS,"3TE",null, ,"200 West Street",Suite 3,Waltham,MA,"02481","513322", 010676381, ,Corporation, , , ,Colubris-Remote NY,"158 158 Deerfield Lane North",null,Pleasantville,NY,"10570",1,0,1,0,90000,CANCEL,2018-01-23,Client's Request
18,PEO01,J4M,"Bokeh, Inc.", ,"3 37th Ave",Suite 4,San Mateo,CA,"94403","541810", 464129777, ,Corporation, , , ,Remote  NY,null,null,null,NY,null,1,0,1,0,110000,ADD,2018-01-23, 
19,PEOUS,JGJ,McCourt Family Services LLC, ,"9420 Wilshire Blvd","3rd Floor",Beverly Hills,CA,"90212","814110", 471156553, ,Limited Liability Company, , , ,NY Residence,null,null,null,NY,null,0,12,0,12,807942,ADD,2018-01-23, 
20,PEOUS,"8QE",Agent Provocateur Inc LA, ,"7961 Melrose Avenue",null,Los Angeles,CA,"90046","448190", 954799441, ,Corporation, , , ,Mercer Street NY,"133 Mercer Street",null,New York,NY,"10012",1,198,1,198,7516387,CANCEL,2018-01-23,Client's Request
21,PEOUS,"3NX",null, ,"55 East 59th Street","17th Floor",New York,NY,"10022","541990", 134142791, ,Corporation, , , ,Bluestar LLC-HQ,"55 East 59th Street","17th Floor",New York,NY,"10022",1,0,1,0,192938,CANCEL,2018-01-23,Client's Request
22,PEO01,IGM,"VigLink, Inc.", ,"505 Sansome St",Suite 1450,San Francisco,CA,"94111","519130", 943474661, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,175000,ADD,2018-01-23, 
23,PEOUS,IS0,Click on Media LLC, ,"12655 W Jefferson Blvd",null,Los Angeles,CA,"90066","519130", 472005480, ,Limited Liability Company, , , ,NY Office,"401 Park Avenue South","10th Floor",New York,NY,"10016",3,3,3,3,347000,ADD,2018-01-23, 
24,PEOUS,CBT,"Strasonus, Inc.", ,"301 Gregson Dr.",null,Cary,NC,"27511","541512", 561622525, ,Corporation, , , ,Midas Medici Office,"445 Park Avenue",Floor 20,New York,NY,"10022",4,1,4,1,132145,CANCEL,2018-01-23,Client's Request
25,PEOUS,E3A,"FreshPlanet, Inc.", ,"381 Park Ave South","16th Floor",New York,NY,"10016","511210", 270444715, ,Corporation, , , ,FreshPlanet-HQ,"381 Park Ave South","16th Floor",New York,NY,"10016",58,21,58,21,5949802,ADD,2018-01-23, 
26,PEO05,QAI,COASTAL SUPPLY GROUP LLC, ,"480 BAY STREET",null,STATEN ISLAND,NY,"10304","423720", 471165163, ,Corporation, , , ,COASTAL SUPPLY GROUP LLC,"480 BAY STREET",null,STATEN ISLAND,NY,"10304",3,0,3,0,228290,ADD,2018-01-23, 
27,PEOUS,SWK,"Techonomy Media, Inc.", ,"311 W 43rd St","12th Floor",New York,NY,"10036","519130", 275113545, ,Corporation, , , ,"Techonomy Media, Inc.-HQ","311 W 43rd St","12th Floor",New York,NY,"10036",4,3,4,3,956285,ADD,2018-01-23, 
28,PEO02,GCY,Glenrock Inc., ,"546 Fifth Avenue, 14th Fl",null,New York,NY,"10036","523930", 133784859, ,Corporation, , , ,Glenrock Inc.-HQ,"546 Fifth Avenue, 14th Fl",null,New York,NY,"10036",11,5,11,5,2021093,CANCEL,2018-01-23,Client's Request
29,PEO02,GE2,Managed Funds Association, ,"600 14th St NW",Ste 900,Washington,DC,"20005","813910", 770277826, ,Association, , , ,New York NY 10036,"546 5th Ave, 12th floor",null,New York,NY,"10036",1,13,1,13,1893774,ADD,2018-01-23, 
