PF_CORP, COMPANY, LEGAL_NAME, DBA_NAME, ADDRESS1, ADDRESS2, CITY, STATE, POSTAL, NAICS, FEDERAL_EIN, STATE_DOL#, LEGAL_STATUS, CLIENT_PHONE, CLIENT_FAX, EMAIL_ADDR, FILING_DESCR, ADDRESS1_1, ADDRESS2_1, CITY_1, STATE_1, POSTAL_1, DBL_MALES, DBL_FEMALES, PFL_MALES, PFL_FEMALES, COVERED_ANNUAL_PAYROLL, STATUS, STATUS_DATE, CANCEL_REASON
"PEOUS","AMO","Ugam Solutions SEZ Pvt Ltd"," ","300 East 59th St","Suite 1902","New York","NY",10022,"541910", 980626816, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,122400,"ADDRESS",01/24/2018," "
"PEOUS","C18","iBio, Inc."," ","600 Madison Ave","Suite 1601","New York","NY",10022-1737,"541713", 262797813, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,2,1,2,1,636000,"ADDRESS",01/24/2018," "
"PEOUS","BL0","Fyber, Inc."," ","785 Market Street","Suite1200","San Francisco","CA",94103,"541613", 990368186, ,"Corporation"," "," "," ","NY Office","79 Madison Avenue",,"New York","NY",10016,2,1,2,1,255080,"ADDRESS",01/24/2018," "
"PEOUS","JES","Gregory E Lutz, MD, P.C."," ","62 East 88th St","Ground Floor","New York","NY",10128,"621111", 134086175, ,"Individual"," "," "," ","Lutz Clinic - HQ","62 East 88th St","Ground Floor","New York","NY",10128,7,6,7,6,2847967,"ADDRESS",01/24/2018," "
"PEO02","G4P","Butler Capital Partners"," ","151 Post Rd",,"Old Westbury","NY",11568,"523920", 134179044, ,"Corporation"," "," "," ","NEW YORK NY 10022","805 3RD AVE","11TH FL","NEW YORK","NY",10022,5,2,5,2,951102,"ADDRESS",01/24/2018," "
"PEOUS","JEU","ReCollect Systems Inc."," ","1324 Lexington Ave.","Suite 219","New York","NY",10128,"511210", 981077853, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,106054,"ADDRESS",01/24/2018," "
"PEOUS","HRZ","DigiFi, Inc."," ","25 Broadway","Office 9075","New York","NY",10004,"519130", 471071648, ,"Corporation"," "," "," ","DigiFi, Inc.-HQ","25 Broadway","Office 9075","New York","NY",10004,5,2,5,2,640000,"ADDRESS",01/24/2018," "
"PEOUS","8QC","SharedXpertise Media LLC"," ","123 South Broad Street","Suite 1930","Philadelphia","PA",19109,"511120", 208596429, ,"Limited Liability Company"," "," "," ","Remote - NY",,,,"NY",,0,1,0,1,90000,"ADDRESS",01/24/2018," "
"PEO05","RBF","PEELED INC"," ","65 15TH STREET FLOOR 1",,"BROOKLYN","NY",11215,"311911", 201575047, ,"Corporation"," "," "," ","PEELED INC-HQ","65 15TH STREET FLOOR 1",,"BROOKLYN","NY",11215,1,4,1,4,464000,"ADDRESS",01/24/2018," "
"PEOUS","BQO","Tastemade, Inc."," ","3019 Olympic Blvd","Stage C","Santa Monica","CA",90404,"519130", 455153979, ,"Corporation"," "," "," ","NYC Office","315 W 36th St","9th Floor","New York","NY",10018,11,25,11,25,4784430,"ADDRESS",01/24/2018," "
"PEO01","E2A","Dash Labs, Inc."," ","175 Varick St","4th Floor","New York","NY",10014,"541511", 460781154, ,"Corporation"," "," "," ","Dash Labs HQ","175 Varick St","4th Floor","New York","NY",10014,4,0,4,0,464998,"ADDRESS",01/24/2018," "
"PEO01","DTJ","East End Computers, LLC"," ","78 White Street",,"Southampton","NY",11968,"541512", 810561203, ,"Limited Liability Company"," "," "," ","EEC","50 Hill St",,"Southampton","NY",11968,6,0,6,0,320447,"ADDRESS",01/24/2018," "
"PEOUS","86O","Comprehensive Equipment Mgmt"," ","5512 7th St",,"Zephyrhills","FL",33542,"811219", 431784109, ,"Corporation"," "," "," ","BROOKLYN","2774 East 6th Street",,"Brooklyn","NY",11234,9,4,9,4,725350,"ADDRESS",01/24/2018," "
"PEOUS","KW6","Natoma Consulting, LLC."," ","1 Hanson Place","Suite 15D","Brooklyn","NY",11243,"541512", 473642725, ,"Limited Liability Company"," "," "," ","NY Office","222 Broadway",,"New York","NY",10038,1,0,1,0,35100,"ADDRESS",01/24/2018," "
"PEO01","CZU","Yingli Green Energy Americas, Inc."," ","2929 Arch Street","Suite 1175","Philadelphia","PA",19104,"334413", 264230588, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,60500,"ADDRESS",01/24/2018," "
"PEO02","GGV","Panning Capital Management, LP"," ","510 Madison Avenue","24th Floor","New York","NY",10022,"525920", 800811834, ,"Limited Partnership"," "," "," ","New York           NY 10022-53","510 MADISON AVE FL 23",,"New York","NY",10022-5335,11,1,11,1,2265000,"ADDRESS",01/24/2018," "
"PEOUS","IRM","Even Responsible Finance, Inc."," ","1904 Franklin Street","Suite 900","Oakland","CA",94612,"522390", 471830900, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,150000,"ADDRESS",01/24/2018," "
"PEO02","GBZ","Appway Inc."," ","212 West 35th Street","Floor 14","New York","NY",10001,"541512", 272854423, ,"Corporation"," "," "," ","New York NY 10012","636 Broadway","Suite 1108","New York","NY",10012,19,6,19,6,2795888,"ADDRESS",01/24/2018," "
"PEO01","DYD","CommunityCo, Inc."," ","745 Atlantic Ave","Floor 8","Boston","MA",02111,"813910", 462432443, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,2,2,2,2,386200,"ADDRESS",01/24/2018," "
"PEOUS","I6S","Didit, Inc"," ","26 Mountain Peak Rd",,"Chappaqua","NY",10514,"511210", 471152186, ,"Corporation"," "," "," ","BnR","150 W 25th Street","5th Floor","New York","NY",10001,1,0,1,0,18720,"ADDRESS",01/24/2018," "
"PEOUS","HO1","Snooth, Inc."," ","33 W. 19th St.",,"New York","NY",10011,"519130", 800740370, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,65000,"ADDRESS",01/24/2018," "
"PEO01","DYM","Fundera, Inc."," ","123 William Street","Floor 21","New York","NY",10038,"522291", 463628068, ,"Corporation"," "," "," ","Fundera - William Street","123 William Street","FL 21","New York","NY",10038,36,24,36,24,5323045,"ADDRESS",01/24/2018," "
"PEO01","CW8","DataRobot, Inc."," ","1 International Place","Floor 5","Boston","MA",02110,"541511", 462709418, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,150000,"ADDRESS",01/24/2018," "
"PEO02","GMY","Melody Business Finance, LLC"," ","60 Arch Street, 2nd Fl",,"Greenwich","CT",06830,"523920", 463070305, ,"Limited Liability Company"," "," "," ","717 Fifth Avenue","717 5th Avenue",,"New York","NY",10022,2,0,2,0,375000,"ADDRESS",01/24/2018," "
"PEO02","G5N","GLC Advisors & Co., LLC"," ","600 Lexington Ave","9th Floor","New York","NY",10022,"523930", 264619357, ,"Limited Liability Company"," "," "," ","HQ","600 Lexington Ave","9th Floor","New York","NY",10022,17,0,17,0,3345000,"ADDRESS",01/24/2018," "
"PEOUS","OOO","The Icla da Silva Foundation"," ","311 West 43rd Street","12th Floor","New York","NY",10036,"813212", 133677332, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,2,0,2,88000,"ADDRESS",01/24/2018," "
"PEOUS","KXN","DocASAP, Inc."," ","22025 Avonworth Square",,"Broadlands","VA",20148,"519130", 264753954, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,2,0,2,0,290000,"ADDRESS",01/24/2018," "
"PEOUS","AFB","Ugam Solutions Pvt. Ltd"," ","300 East 59th St","Suite 1902","New York","NY",10022,"541910", 943414146, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,1,1,1,365000,"ADDRESS",01/24/2018," "
"PEOUS","NYU","RecyclingUnited USA LLC"," ","571 Hudson Street","Suite 1a","New York","NY",10014,"519130", 464614443, ,"Limited Liability Company"," "," "," ","NY Office","175 Varick Avenue",,"New York","NY",10014,1,0,1,0,50000,"ADDRESS",01/24/2018," "
"PEOUS","584","Hillspire, LLC"," ","1010 El Camino Real","Ste 200","Menlo Park","CA",94025,"523920", 562617820, ,"Limited Liability Company"," "," "," ","NY Office","33 West","60th St Suite 1209","New York","NY",10023,2,0,2,0,116520,"ADDRESS",01/24/2018," "
"PEOUS","KXO","IFLS LLC"," ","120 East 23rd Street",,"New York","NY",10010,"519130", 371790661, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,2,0,2,0,227500,"ADDRESS",01/24/2018," "
"PEO02","GGP","Apple Tree Life Sciences, Inc"," ","230 Park Avenue","Suite 2800","New York","NY",10169,"541715", 451584506, ,"Corporation"," "," "," ","HQ","230 Park Avenue","Suite 2800","New York","NY",10169,7,8,7,8,2871893,"ADDRESS",01/24/2018," "
"PEOUS","3V9","COLT Internet US Corp"," ","101 Hudson Street","Suite 2100","Jersey City","NJ",07302,"517311", 043500566, ,"Corporation"," "," "," ","COLT Internet US-Remote NY",,,,"NY",,9,1,9,1,1308916,"ADDRESS",01/24/2018," "
"PEO01","J70","Artbook LLC"," ","75 Broad Street","Suite 630","New York","NY",10004,"451211", 261484542, ,"Limited Liability Company"," "," "," ","Aspace Warehouse","195 Morgan Avenue","Unit 307","Brooklyn","NY",11206,4,3,4,3,165021,"ADDRESS",01/24/2018," "
"PEOUS","AL1","HealthCare Information Management, Inc."," ","712 Bancroft Rd","Suite 456","Walnut Creek","CA",94598,"511210", 680467063, ,"Corporation"," "," "," ","Remote - NY",,,,"NY",,1,0,1,0,100000,"ADDRESS",01/24/2018," "
"PEOUS","001","TriNet HR III, Inc."," ","1100 San Leandro Blvd","Suite 400","San Leandro","CA",94577,"561330", 481304650, ,"Corporation"," "," "," ","NY-New York (42nd)","122 East 42nd Street","Suite 3400","New York","NY",10168,86,83,86,83,18316215,"ADDRESS",01/24/2018," "
"PEOUS","8J6","Food Innovations Inc"," ","28411 Race Track Rd",,"Bonita Springs","FL",34135,"425110", 100002630, ,"Corporation"," "," "," ","Remote Brooklyn NY",,,,"NY",,1,1,1,1,472841,"ADDRESS",01/24/2018," "
"PEO02","GE0","Graycliff Partners LP"," ","500 5th Avenue","47th Floor","New York","NY",10010,"523930", 364711561, ,"Limited Partnership"," "," "," ","New York NY 10110-4703","500 5TH AVE FL 47",,"New York","NY",10110-4703,5,4,5,4,1095500,"ADDRESS",01/24/2018," "
"PEOUS","J45","Alley NYC, LLC"," ","119 W 24th Street","4th Floor","New York","NY",10011,"531120", 352525263, ,"Limited Liability Company"," "," "," ","Alley NYC-HQ","119 W 24th Street","4th Floor","New York","NY",10011,7,12,7,12,1357438,"ADDRESS",01/24/2018," "
"PEOUS","IXW","Travel Spike, LLC"," ","3101 Cobb Parkway SE","Suite 124","Atlanta","GA",30339,"519130", 030393778, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,200000,"ADDRESS",01/24/2018," "
"PEOUS","KN2","Canepa Healthcare, LLC"," ","1111 Brickell Ave","Suite 1525","Miami","FL",33131,"523920", 472238972, ,"Limited Liability Company"," "," "," ","NY Office 2018","845 Third Ave","6th Floor","New York","NY",10022,1,0,1,0,248100,"ADDRESS",01/24/2018," "
"PEOUS","IK0","Bigfoot Biomedical, Inc."," ","1561 Buckeye Drive",,"Milpitas","CA",95035,"511210", 472428120, ,"Corporation"," "," "," ","Mackowiak Home",,,,"NY",,0,1,0,1,132475,"ADDRESS",01/24/2018," "
"PEOUS","EDR","Tradesports Technology Holdings, Inc."," ","121 Hawkins Place","Unit 142","Boonton","NJ",07005,"518210", 823219048, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,36000,"ADDRESS",01/24/2018," "
"PEOUS","5GI","Quid, Inc."," ","600 Harrison","Suite 400","San Francisco","CA",94107,"541511", 260832277, ,"Corporation"," "," "," ","Quid - WeWorkNY","120 E 23rd Street",,"New York","NY",10010,11,2,11,2,1387800,"ADDRESS",01/24/2018," "
"PEOUS","PAK","Your Design, LLC"," ","19 Morris Ave","Suite 128","Brooklyn","NY",11205,"339112", 473088553, ,"Limited Liability Company"," "," "," ","Your Design LLC-HQ","19 Morris Ave","Suite 128","Brooklyn","NY",11205,4,1,4,1,211400,"ADDRESS",01/24/2018," "
"PEO01","BOE","SASC LLC"," ","44 Amogerone Crossway #7862",,"Greenwich","CT",06830,"541511", 454997983, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,4,5,4,5,542300,"ADDRESS",01/24/2018," "
"PEOUS","TJB","Mindspace Inc."," ","750 Third Avenue",,"New York","NY",10017,"531120", 815454494, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,170000,"ADDRESS",01/24/2018," "
"PEOUS","I0B","Artsetters, Inc."," ","364 West 18th Street","1E","New York","NY",10011,"454110", 463970358, ,"Corporation"," "," "," ","Artsetters HQ","364 West 18th Street","1E","New York","NY",10011,0,4,0,4,640000,"ADDRESS",01/24/2018," "
"PEOUS","CB4","OpenGov, Inc."," ","955 Charter Street",,"Redwood City","CA",94063,"541511", 300717374, ,"Corporation"," "," "," ","NY Office","33 Irving Place","3rd Floor","New York","NY",10003,6,2,6,2,843000,"ADDRESS",01/24/2018," "
